Altium Designer Pick and Place Locations
C:\Users\Public\Documents\Altium\Projects\Hrafn\Project Outputs for Hrafn\Generate Files\Pick Place\Pick Place for Hrafn(PopulatedComponents).txt

========================================================================================================================
File Design Information:

Date:       24/06/21
Time:       13:50
Revision:   2594
Variant:    PopulatedComponents
Units used: mil

Designator Comment                  Layer    Footprint                 Center-X(mil) Center-Y(mil) Rotation Description                                                                                                                                  
R143       AC0402FR-071ML           TopLayer RESC1005X37X25LL05T10     3872.000      2533.000      270      ""                                                                                                                                           
R142       ERJ2GE0R00X              TopLayer RESC1005X40X25LL05T05     3839.000      2542.000      90       "Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                      
C66        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3704.000      2495.000      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
X1         ABM8G-25.000MHZ-18-D2Y-T TopLayer ABRA-ABM8G_V              3729.000      2620.000      270      "Ultra Miniature Ceramic Glass Sealed SMD Crystal, 25 MHz, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                   
R141       ERJ-2RKF1212X            TopLayer RESC1005X40X25LL05T05     3840.000      2180.000      180      ""                                                                                                                                           
R140       "220 O"                  TopLayer RESC1005X40X25LL05T05     3380.000      2471.000      0        ""                                                                                                                                           
R139       "220 O"                  TopLayer RESC1005X40X25LL05T05     3381.000      2439.000      0        ""                                                                                                                                           
R108       ERJ-2GEJ102X             TopLayer RESC1005X40X25LL05T05     3569.000      1432.000      0        ""                                                                                                                                           
R107       ERJ-2GEJ102X             TopLayer RESC1005X40X25LL05T05     3569.000      1400.000      0        ""                                                                                                                                           
R105       "220 O"                  TopLayer RESC1005X40X25LL05T05     3372.000      2388.000      90       ""                                                                                                                                           
R103       "220 O"                  TopLayer RESC1005X40X25LL05T05     3454.000      2437.000      270      ""                                                                                                                                           
D12        TLMP1100-GS08            TopLayer FP-6_541-5056_01-4-MFG    3779.000      1486.000      180      "LED GREEN 0603 SMD"                                                                                                                         
D11        TLMP1100-GS08            TopLayer FP-6_541-5056_01-4-MFG    3779.000      1532.000      180      "LED GREEN 0603 SMD"                                                                                                                         
C109       GRM155R71E103KA01D       TopLayer CAPC1005X55X25LL05T10     3792.000      2422.000      180      ""                                                                                                                                           
C108       GRM188R6YA475KE15D       TopLayer FP-GRM188-0_2-IPC_C       3847.000      2439.000      90       "Chip Multilayer Ceramic Capacitors for General Purpose, 0603, 4.7uF, X5R, 15%, 10%, 35V"                                                    
C107       EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3760.000      2495.000      90       "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C105       "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3824.000      2360.000      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C73        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3306.474      2516.274      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C72        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3848.000      2675.000      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C71        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3848.000      2627.000      180      "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C68        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3831.000      2241.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C67        EMK107BBJ106MA-T         TopLayer CAPC1608X100X35LL20T25    3805.000      2137.000      0        "Chip Capacitor, 10 uF, +/- 20%, 16 V, -55 to 85 degC, 0603 (1608 Metric), RoHS, Tape and Reel"                                              
C65        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3776.000      2097.000      180      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C64        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        3466.000      2092.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C62        GRM1555C1H180JA01D       TopLayer CAPC1005X55X25LL05T10     3807.000      2540.000      270      ""                                                                                                                                           
C61        GRM1555C1H180JA01D       TopLayer CAPC1005X55X25LL05T10     3698.000      2526.000      180      ""                                                                                                                                           
R138       ERJ2GE0R00X              TopLayer RESC1005X40X25LL05T05     2721.000      2161.000      90       "Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                      
C98        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2170.394      3641.000      0        "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
C95        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2113.000      3898.252      270      "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
R137       ERJ2GE0R00X              TopLayer RESC1005X40X25LL05T05     2931.000      2172.000      90       "Chip Resistor, 0 Ohm, 0.1 W, -55 to 155 degC, 0402 (1005 Metric), RoHS, Tape and Reel"                                                      
R136       CRCW0402100KJNED         TopLayer RESC1005X40X25LL05T05     2176.252      2928.000      180      ""                                                                                                                                           
R61        R                        TopLayer RESC1608X08L              3061.000      2255.000      180      "ROHM - ESR03EZPJ121 - RES, AEC-Q200, THICK FILM, 120R, 5%, 0603 ROHS COMPLIANT: YES"                                                        
C31        "0.1 uF"                 TopLayer CAPC0402(1005)60_L        2732.000      2625.000      90       "CAP 100nF 16V ±5% 0402 (1005 Metric) Thickness 0.6mm SMD"                                                                                   
L1         L                        TopLayer 78438357022               1366.000      2142.000      180      "Power Inductor, Aec-Q200, 2.2Uh, 5.2A Rohs Compliant: Yes"                                                                                  
X2         ABM8G-25.000MHZ-18-D2Y-T TopLayer ABRA-ABM8G_V              3239.291      2388.701      270      "Ultra Miniature Ceramic Glass Sealed SMD Crystal, 25 MHz, -40 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel"                                   
U7         TPS79133DBVR             TopLayer DBV0005A_N                2646.000      2600.000      90       "Single Output High PSRR LDO, 100 mA, Fixed 3.3 V Output, 2.7 to 5.5 V Input, 5-pin SOT-23 (DBV), -40 to 125 degC, Green (RoHS & no Sb/Br)"  
U26        FPF2701MPX               TopLayer FP-511DD-MFG              2257.000      3731.000      90       "IC LOAD SWITCH 0.4-2A OCP 8MLP"                                                                                                             
U25        AD7779                   TopLayer AD7779                    2363.203      3253.736      45       "ANALOG DEVICES - AD7779ACPZ - Analogue to Digital Converter, 8-CH, Sigma-Delta, 24 bit, 16 kSPS, Differential, Single Ended, SPI"           
U24        SN65HVD230DR             TopLayer D0008A_L                  3055.000      2100.000      90       "3.3V CAN Transceiver with Standby Mode, 17 mA, -40 to 85 degC, 8-pin SOIC (D), Green (RoHS & no Sb/Br)"                                     
U23        MCP2515T-I/ML            TopLayer QFN-ML20_N                3049.095      2394.765      90       "Stand-Alone CAN Controller With SPI Interface, 20-Pin QFN, Industrial Temperature, Tape and Reel"                                           
U22        CM1224-04SO              TopLayer ONSC-SOT23-6-527AJ_V      3376.000      1929.000      270      "4-Channel Low Capacitance ESD Protection Array, 6-Pin SOT-23, Pb-Free, Tape and Reel"                                                       
U21        HX1188FNL                TopLayer PULS-HX1188FNL-SMT-16_V   3666.240      1810.000      270      "Telecom Transformer 1:1/1:1, -40 to 85 degC, 16-Pin SMT, RoHS, Tube"                                                                        
U19        TMUX136RSER              TopLayer FP-RSE0010A-MFG           2774.000      2313.000      90       "IC SWITCH SPDT DUAL 10UQFN"                                                                                                                 
U18        DS90LT012AQMFE/NOPB      TopLayer MF05A_L                   2624.000      2213.000      0        "Automotive LVDS Differential Line Receiver, 5-pin SOT-23, Pb-Free"                                                                          
U17        TPS3820-33DBVT           TopLayer DBV0005A_N                2819.961      2182.166      0        "Processor Supervisory Circuit, 1 Supply Monitored, -40 to 85 degC, 5-Pin SOT-23 (DBV), Green (RoHS & no Sb/Br)"                             
U16        DS90LT012AQMFE/NOPB      TopLayer MF05A_L                   2401.000      2220.000      0        "Automotive LVDS Differential Line Receiver, 5-pin SOT-23, Pb-Free"                                                                          
U15A       LMP2022MM/NOPB           TopLayer DGK0008A_L                1856.554      3411.801      0        "Zero Drift, Low Noise, EMI Hardened Amplifier, 8-pin Mini SOIC, Pb-Free"                                                                    
U15B       LMP2022MM/NOPB           TopLayer DGK0008A_L                3217.584      3348.378      0        "Zero Drift, Low Noise, EMI Hardened Amplifier, 8-pin Mini SOIC, Pb-Free"                                                                    
U14A       LMP2022MM/NOPB           TopLayer DGK0008A_L                1435.294      3407.865      0        "Zero Drift, Low Noise, EMI Hardened Amplifier, 8-pin Mini SOIC, Pb-Free"                                                                    
U14B       LMP2022MM/NOPB           TopLayer DGK0008A_L                2800.323      3429.441      0        "Zero Drift, Low Noise, EMI Hardened Amplifier, 8-pin Mini SOIC, Pb-Free"                                                                    
U13A       SN74AHC1G04DBVR          TopLayer FP-DBV0005A-MFG           1414.013      2600.415      0        "IC INVERTER 1CH 1-INP SOT23-5"                                                                                                              
U13B       SN74AHC1G04DBVR          TopLayer FP-DBV0005A-MFG           2823.000      2591.000      0        "IC INVERTER 1CH 1-INP SOT23-5"                                                                                                              
U12A       AD590L/M                 TopLayer 2-FLATPAK                 1862.291      3639.000      180      ""                                                                                                                                           
U12B       AD590L/M                 TopLayer 2-FLATPAK                 2783.202      3650.470      0        ""                                                                                                                                           
U11A       HMC1053                  TopLayer LCC16                     1394.000      3780.000      90       ""                                                                                                                                           
U11B       HMC1053                  TopLayer LCC16                     3243.557      3760.268      270      ""                                                                                                                                           
U10A       REF3040AIDBZT            TopLayer DBZ0003A_N                1950.766      3829.030      180      "4.096 V, 50 ppm / degC, 50 uA Series (Bandgap) Voltage Reference, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"             
U10B       REF3040AIDBZT            TopLayer DBZ0003A_N                2785.000      3824.000      0        "4.096 V, 50 ppm / degC, 50 uA Series (Bandgap) Voltage Reference, -40 to 125 degC, 3-pin SOT-23 (DBZ), Green (RoHS & no Sb/Br)"             
U9         FPF2701MPX               TopLayer FP-511DD-MFG              2046.245      2109.278      0        "IC LOAD SWITCH 0.4-2A OCP 8MLP"                                                                                                             
U8         AD590J                   TopLayer DFN260P300X75-4N          2484.865      3661.449      0        ""                                                                                                                                           
U6         LT6105                   TopLayer LT6105                    2043.488      2295.302      180      ""                                                                                                                                           
U5         LT1959CS8#PBF            TopLayer LT-S8-8_L                 1100.394      2150.591      0        "4.5 A, 500 kHz Step-Down Switching Regulator, 8-pin SOIC (S8-8), 0 to 125 degC, Pb-Free"                                                    
U4         AD590J                   TopLayer DFN260P300X75-4N          3641.189      1322.070      0        ""                                                                                                                                           
U3         FPF2701MPX               TopLayer FP-511DD-MFG              1614.519      2182.249      0        "IC LOAD SWITCH 0.4-2A OCP 8MLP"                                                                                                             
U2         LT6105                   TopLayer LT6105                    1822.000      2193.000      90       ""                                                                                                                                           
U1         AD7298BCPZ               TopLayer CP-20-8_M                 2553.630      2395.276      270      "8 Channel 12-Bit SAR Analog-to-Digital Converter with SPI Interface and Temperature Sensor 1MSPS, -40 to +125 degC, CP-20-8, Pb-Free, Tray" 
R46        22kO                     TopLayer RESC1005X40X25LL05T05     2935.000      1622.748      270      ""                                                                                                                                           
R130H      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     3116.588      3128.143      0        ""                                                                                                                                           
R130G      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     3038.025      3237.035      270      ""                                                                                                                                           
R130F      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     2937.537      3237.035      270      ""                                                                                                                                           
R130E      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     2837.049      3237.035      270      ""                                                                                                                                           
R130D      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1634.574      3111.861      0        ""                                                                                                                                           
R130C      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1558.413      3245.326      270      ""                                                                                                                                           
R130B      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1463.924      3246.327      270      ""                                                                                                                                           
R130A      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1366.500      3245.326      270      ""                                                                                                                                           
R129H      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     3116.588      3092.710      0        ""                                                                                                                                           
R129G      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     3002.592      3237.035      270      ""                                                                                                                                           
R129F      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     2902.104      3237.035      270      ""                                                                                                                                           
R129E      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     2801.615      3237.035      270      ""                                                                                                                                           
R129D      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1634.574      3076.428      0        ""                                                                                                                                           
R129C      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1522.980      3245.326      270      ""                                                                                                                                           
R129B      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1428.491      3246.327      270      ""                                                                                                                                           
R129A      CRCW04023K30JNED         TopLayer RESC1005X40X25LL05T05     1331.066      3245.326      270      ""                                                                                                                                           
R128       ERJ2RKF5603X             TopLayer RESC1005X40X25LL05T05     2274.047      3608.362      90       ""                                                                                                                                           
R127       22kO                     TopLayer RESC1005X40X25LL05T05     2309.480      3608.362      90       ""                                                                                                                                           
R126       CRCW0402100KJNED         TopLayer RESC1005X40X25LL05T05     2236.000      3595.000      270      ""                                                                                                                                           
R125       "220 O"                  TopLayer RESC1005X40X25LL05T05     2624.000      3179.000      90       ""                                                                                                                                           
R124       "220 O"                  TopLayer RESC1005X40X25NL05T05     2633.000      3325.000      315      ""                                                                                                                                           
R123       "220 O"                  TopLayer RESC1005X40X25NL05T05     2377.071      2970.551      225      ""                                                                                                                                           
R122       "220 O"                  TopLayer RESC1005X40X25LL05T05     2299.740      2983.441      225      ""                                                                                                                                           
R121       "220 O"                  TopLayer RESC1005X40X25LL05T05     2276.118      3007.063      225      ""                                                                                                                                           
R120       "220 O"                  TopLayer RESC1005X40X25LL05T05     2252.496      3030.685      225      ""                                                                                                                                           
R119       "220 O"                  TopLayer RESC1005X40X25LL05T05     2177.850      3442.504      135      ""                                                                                                                                           
R118       "220 O"                  TopLayer RESC1005X40X25LL05T05     2201.472      3464.158      135      ""                                                                                                                                           
R117       "220 O"                  TopLayer RESC1005X40X25LL05T05     2224.535      3490.827      135      ""                                                                                                                                           
R116       "220 O"                  TopLayer RESC1005X40X25LL05T05     2991.252      2519.000      0        ""                                                                                                                                           
R115       22kO                     TopLayer RESC1005X40X25LL05T05     2984.000      2251.000      180      ""                                                                                                                                           
R112       "75 O"                   TopLayer RESC1005X40X25NL05T05     3550.346      1503.031      270      ""                                                                                                                                           
R111       "75 O"                   TopLayer RESC1005X40X25NL05T05     3587.598      1502.929      270      ""                                                                                                                                           
R110       CRCW060350R0FKEA         TopLayer FP-CRCW0603-e3-MFG        3363.000      2211.000      0        "RES Thick Film, 50O, 1%, 0.1W, 100ppm/°C, 0603"                                                                                             
R109       CRCW060350R0FKEA         TopLayer FP-CRCW0603-e3-MFG        3361.000      2266.000      0        "RES Thick Film, 50O, 1%, 0.1W, 100ppm/°C, 0603"                                                                                             
